setting	exposure	outcome	n	beta	lo	hi	p	q
S1_TCGA_Xena	chromo	cytolytic	716	-0.14498548647442827	-0.2811119587146174	-0.008859014234239126	0.036875549482467254	0.0691416552796261
S1_TCGA_Xena	chromo	cd8_tcell	716	-0.06380895304610373	-0.19687907217158784	0.06926116607938038	0.3468038250002295	0.4001582596156494
S1_TCGA_Xena	chromo	apm	716	-0.07760883943811367	-0.19795715537235276	0.04273947649612542	0.205901655006556	0.2807749840998491
S1_TCGA_Xena	chromo	isg	716	-0.07453413467118053	-0.19459657140424114	0.04552830206188009	0.22332100811242198	0.2912882714509852
S1_TCGA_Xena	chromo	cgas_sting	716	-0.07164205765401106	-0.1450930543390464	0.001808939031024262	0.05589933377092144	0.09864588312515549
S1_TCGA_Xena	chromo	tcell_inflamed	716	-0.12549850353913394	-0.2259497353799759	-0.02504727169829199	0.01441191690928454	0.03325826979065663
S1_TCGA_Xena	chromo	treg	716	-0.047417492914573714	-0.14471763118131808	0.04988264535217067	0.3390030371379643	0.39882710251525216
S1_TCGA_Xena	chromo	myeloid	716	-0.0877136328091293	-0.2035122140565906	0.028084948438331994	0.13742145644671258	0.21698124702112515
S1_TCGA_Xena	chromo	tgfb_stroma	716	-0.014920186720609942	-0.126096436836263	0.09625606339504311	0.7922561412155397	0.8195753184988341
S1_TCGA_Xena	chromo	exhaustion	716	-0.11995984443272938	-0.23653152121075957	-0.0033881676546991812	0.04371948776144342	0.07948997774807894
S1_TCGA_Xena	chromo_any	cytolytic	716	-0.1778785122929497	-0.3064622897963975	-0.049294734789501915	0.0067685895621082135	0.022561965207027378
S1_TCGA_Xena	chromo_any	cd8_tcell	716	-0.07521633981035498	-0.20113318620182286	0.05070050658111287	0.24127757320831822	0.30801392324466154
S1_TCGA_Xena	chromo_any	apm	716	-0.15169764924597057	-0.2651962808390742	-0.03819901765286694	0.008874815376545468	0.02471317016340485
S1_TCGA_Xena	chromo_any	isg	716	-0.07822279394350067	-0.19184297567547545	0.03539738778847412	0.17691598733970287	0.25890144488737005
S1_TCGA_Xena	chromo_any	cgas_sting	716	-0.09206655635201347	-0.1614418594704925	-0.022691253233534422	0.00936682624251296	0.02471317016340485
S1_TCGA_Xena	chromo_any	tcell_inflamed	716	-0.17656991531489208	-0.2711668684510238	-0.0819729621787604	0.0002661306614242524	0.001721533856681954
S1_TCGA_Xena	chromo_any	treg	716	-0.10270410488857591	-0.19455424566721558	-0.010853964109936262	0.028463723670946614	0.05509107807279989
S1_TCGA_Xena	chromo_any	myeloid	716	-0.13098289246251282	-0.24034048801797347	-0.02162529690705217	0.01896739642850292	0.04064442091822055
S1_TCGA_Xena	chromo_any	tgfb_stroma	716	-0.04085985679140308	-0.14605801706973065	0.06433830348692449	0.4459766696704705	0.49552963296718944
S1_TCGA_Xena	chromo_any	exhaustion	716	-0.14468395445570797	-0.2548296751206316	-0.034538233790784356	0.01011023309459024	0.025275582736475597
S1_TCGA_Xena	PGA	cytolytic	716	-0.0892649274287592	-0.1548925740394372	-0.023637280818081197	0.007748335215645568	0.02446842699677548
S1_TCGA_Xena	PGA	cd8_tcell	716	-0.05689454747584314	-0.1210757239961768	0.007286629044490518	0.08222021968471921	0.13333008597522034
