setting	exposure	outcome	n	beta	p	q
TCGA (shared histologies only)	WGD	cytolytic	139	-0.40481471470552155	0.012928082992063649	0.11804298234729105
TCGA (shared histologies only)	WGD	cd8_tcell	139	-0.35080399721622985	0.03052904653518471	0.12211618614073884
TCGA (shared histologies only)	WGD	apm	139	-0.41930185587481983	0.004377755530371117	0.08032883150114631
TCGA (shared histologies only)	WGD	isg	139	-0.19852755533827598	0.1012010883606808	0.30769736118610247
TCGA (shared histologies only)	WGD	cgas_sting	139	-0.10893460817296989	0.27506870091613367	0.622861035925632
TCGA (shared histologies only)	WGD	tcell_inflamed	139	-0.33382379493146097	0.004089887358994666	0.08032883150114631
TCGA (shared histologies only)	WGD	treg	139	-0.21486551716092117	0.06702649757150943	0.23656410907591563
TCGA (shared histologies only)	WGD	myeloid	139	-0.32801559598204166	0.008994763661591425	0.10793716393909711
TCGA (shared histologies only)	WGD	tgfb_stroma	139	-0.07702319914844638	0.5594888955735867	0.7827601195365643
TCGA (shared histologies only)	WGD	exhaustion	139	-0.29162693418433344	0.026571955439971998	0.12211618614073884
TCGA (shared histologies only)	ploidy	cytolytic	139	-0.20010604057160183	0.005355255433409754	0.08032883150114631
TCGA (shared histologies only)	ploidy	cd8_tcell	139	-0.17631004784919502	0.013771681273850622	0.11804298234729105
TCGA (shared histologies only)	ploidy	apm	139	-0.15784804947869924	0.015778799082556846	0.11834099311917635
TCGA (shared histologies only)	ploidy	isg	139	-0.11126308763104104	0.03732084966867309	0.1399531862575241
TCGA (shared histologies only)	ploidy	cgas_sting	139	-0.07349785442646542	0.09509772693962487	0.30769736118610247
TCGA (shared histologies only)	ploidy	tcell_inflamed	139	-0.1716253962406111	0.0007957401981482974	0.047744411888897845
TCGA (shared histologies only)	ploidy	treg	139	-0.11315649134388676	0.02885600955408967	0.12211618614073884
TCGA (shared histologies only)	ploidy	myeloid	139	-0.1308192377821304	0.018840226201135266	0.12211618614073884
TCGA (shared histologies only)	ploidy	tgfb_stroma	139	-0.04697002825027963	0.4209842269682212	0.7069081110401381
TCGA (shared histologies only)	ploidy	exhaustion	139	-0.12800888490504736	0.02783680889932278	0.12211618614073884
TCGA (shared histologies only)	chromo	cytolytic	139	-0.048794333004941313	0.7686934041930538	0.9224320850316645
TCGA (shared histologies only)	chromo	cd8_tcell	139	0.013971276189185602	0.9324350674726554	0.9685103658845668
TCGA (shared histologies only)	chromo	apm	139	0.06311194451493483	0.6748127750960329	0.8476560512310413
TCGA (shared histologies only)	chromo	isg	139	-0.025683629074595198	0.8340882647419718	0.9442508657456286
TCGA (shared histologies only)	chromo	cgas_sting	139	-0.009090358277527494	0.9281171493632316	0.9685103658845668
TCGA (shared histologies only)	chromo	tcell_inflamed	139	-0.06523308518649074	0.5831299210464117	0.7827601195365643
TCGA (shared histologies only)	chromo	treg	139	0.009022374806553601	0.939523174533329	0.9685103658845668
TCGA (shared histologies only)	chromo	myeloid	139	-0.10507318293117311	0.4115063780203365	0.7069081110401381
TCGA (shared histologies only)	chromo	tgfb_stroma	139	0.03075188558267028	0.8171797943187216	0.942899762675448
TCGA (shared histologies only)	chromo	exhaustion	139	-0.09530208694088801	0.4754875423351922	0.7315192959002956
TCGA (shared histologies only)	chromo_any	cytolytic	139	-0.12349745530653904	0.42403236069021477	0.7069081110401381
TCGA (shared histologies only)	chromo_any	cd8_tcell	139	0.06415871739262079	0.6760444256066943	0.8476560512310413
TCGA (shared histologies only)	chromo_any	apm	139	-0.10636536591416842	0.44770847032542077	0.7069081110401381
TCGA (shared histologies only)	chromo_any	isg	139	-0.17557925234314375	0.12281249966571171	0.3508928561877478
TCGA (shared histologies only)	chromo_any	cgas_sting	139	-0.10456106522430553	0.2644450075828612	0.622861035925632
TCGA (shared histologies only)	chromo_any	tcell_inflamed	139	-0.13255293212746486	0.2304957243598868	0.5762393108997169
TCGA (shared histologies only)	chromo_any	treg	139	-0.09091264335057118	0.41148747212648323	0.7069081110401381
TCGA (shared histologies only)	chromo_any	myeloid	139	-0.15760928416743197	0.18537394318944064	0.48358419962462773
TCGA (shared histologies only)	chromo_any	tgfb_stroma	139	0.012702807911955077	0.9183991666452589	0.9685103658845668
TCGA (shared histologies only)	chromo_any	exhaustion	139	-0.09533029312324015	0.44369073976951384	0.7069081110401381
TCGA (shared histologies only)	PGA	cytolytic	139	-0.07598871399057636	0.313952680015089	0.6600556465820282
TCGA (shared histologies only)	PGA	cd8_tcell	139	-0.05847221919463797	0.4355829718335469	0.7069081110401381
TCGA (shared histologies only)	PGA	apm	139	-0.11137033815943947	0.10256578706203415	0.30769736118610247
TCGA (shared histologies only)	PGA	isg	139	-0.12457693833239568	0.02439666563895292	0.12211618614073884
TCGA (shared histologies only)	PGA	cgas_sting	139	-0.04945978301992628	0.28028746616653444	0.622861035925632
TCGA (shared histologies only)	PGA	tcell_inflamed	139	-0.07174281807795091	0.18404184128935616	0.48358419962462773
TCGA (shared histologies only)	PGA	treg	139	-0.052682441566119724	0.3300278232910141	0.6600556465820282
TCGA (shared histologies only)	PGA	myeloid	139	-0.12572642870358985	0.029772884846622213	0.12211618614073884
TCGA (shared histologies only)	PGA	tgfb_stroma	139	0.04885121642988402	0.41970470764278317	0.7069081110401381
TCGA (shared histologies only)	PGA	exhaustion	139	-0.06035930640138409	0.3207854442542919	0.6600556465820282
TCGA (shared histologies only)	n_high	cytolytic	139	-0.022462657385065435	0.7592913780642463	0.9224320850316645
TCGA (shared histologies only)	n_high	cd8_tcell	139	0.004349251810617072	0.9523685264531574	0.9685103658845668
TCGA (shared histologies only)	n_high	apm	139	0.03848826484420462	0.5624199668618713	0.7827601195365643
TCGA (shared histologies only)	n_high	isg	139	-0.0131859214345104	0.8077021892939192	0.942899762675448
TCGA (shared histologies only)	n_high	cgas_sting	139	0.0003121827274514058	0.994405424654688	0.994405424654688
TCGA (shared histologies only)	n_high	tcell_inflamed	139	-0.028521871930038835	0.5870700896524232	0.7827601195365643
TCGA (shared histologies only)	n_high	treg	139	0.00429587065234768	0.9348389279838202	0.9685103658845668
TCGA (shared histologies only)	n_high	myeloid	139	-0.023483425798842217	0.678124840984833	0.8476560512310413
TCGA (shared histologies only)	n_high	tgfb_stroma	139	0.040158218627036085	0.4941195215279248	0.7316081961017383
TCGA (shared histologies only)	n_high	exhaustion	139	-0.03981188249830206	0.49993226733618784	0.7316081961017383
nonTCGA (all)	WGD	cytolytic	421	-0.10216175974737879	0.3461769732430309	0.5854405362156586
nonTCGA (all)	WGD	cd8_tcell	421	-0.10934743694234018	0.32023673759672694	0.5854405362156586
nonTCGA (all)	WGD	apm	421	-0.14394004057554968	0.12357533272312926	0.4689666423857937
nonTCGA (all)	WGD	isg	421	-0.26566788036645217	0.004008004579495395	0.18526835146848364
nonTCGA (all)	WGD	cgas_sting	421	-0.1592362497067091	0.009013787146152948	0.18526835146848364
nonTCGA (all)	WGD	tcell_inflamed	421	-0.10595723171355308	0.18041521930535764	0.4987099461262957
nonTCGA (all)	WGD	treg	421	-0.16713689031338483	0.04233628957491678	0.28962667439708417
nonTCGA (all)	WGD	myeloid	421	-0.06567353011389576	0.4595849821093812	0.6412813703851831
nonTCGA (all)	WGD	tgfb_stroma	421	-0.09017737035072182	0.3146032185644993	0.5854405362156586
nonTCGA (all)	WGD	exhaustion	421	-0.12134307910282047	0.1662673251846424	0.4987099461262957
nonTCGA (all)	ploidy	cytolytic	421	-0.020175500264518444	0.659211513124125	0.7324572368045833
nonTCGA (all)	ploidy	cd8_tcell	421	-0.03156897590489083	0.49630584754467655	0.659171029382786
nonTCGA (all)	ploidy	apm	421	-0.02203677872263728	0.5765642145871059	0.6918770575045271
nonTCGA (all)	ploidy	isg	421	-0.09238630094835404	0.017822998085862053	0.221000492471731
nonTCGA (all)	ploidy	cgas_sting	421	-0.0669076739924177	0.009263417573424183	0.18526835146848364
nonTCGA (all)	ploidy	tcell_inflamed	421	-0.026562198136716078	0.42616673768247293	0.623658640510936
nonTCGA (all)	ploidy	treg	421	-0.08175681826050857	0.018416707705977583	0.221000492471731
nonTCGA (all)	ploidy	myeloid	421	-0.03640875294576652	0.33079504889996253	0.5854405362156586
nonTCGA (all)	ploidy	tgfb_stroma	421	-0.032653356239631906	0.3879188924948085	0.5854405362156586
nonTCGA (all)	ploidy	exhaustion	421	-0.03177666806034196	0.3902936908104391	0.5854405362156586
nonTCGA (all)	chromo	cytolytic	421	-0.05210230567943762	0.6099738762783615	0.7145816600588631
nonTCGA (all)	chromo	cd8_tcell	421	-0.004199333888047205	0.9676775537187544	0.9785944429363893
nonTCGA (all)	chromo	apm	421	-0.1536246491586919	0.08073442717337406	0.38635771069198016
nonTCGA (all)	chromo	isg	421	-0.04339397452345857	0.6193041053843481	0.7145816600588631
nonTCGA (all)	chromo	cgas_sting	421	0.05322586996816491	0.3555471204938431	0.5854405362156586
nonTCGA (all)	chromo	tcell_inflamed	421	-0.08084776111821801	0.27783661644072455	0.5758056982383462
nonTCGA (all)	chromo	treg	421	-0.05041215291586716	0.5163506396831824	0.659171029382786
nonTCGA (all)	chromo	myeloid	421	-0.07290546919482782	0.38314333222242114	0.5854405362156586
nonTCGA (all)	chromo	tgfb_stroma	421	0.12678519438853508	0.13287388200930822	0.4689666423857937
nonTCGA (all)	chromo	exhaustion	421	-0.03725345870347568	0.6520251042471894	0.7324572368045833
nonTCGA (all)	chromo_any	cytolytic	421	-0.105939802303804	0.2721510376414969	0.5758056982383462
nonTCGA (all)	chromo_any	cd8_tcell	421	-0.06519095253505569	0.5055400774220986	0.659171029382786
nonTCGA (all)	chromo_any	apm	421	-0.11580604150914527	0.16389057172396784	0.4987099461262957
nonTCGA (all)	chromo_any	isg	421	-0.056688282746983364	0.4921653092055778	0.659171029382786
nonTCGA (all)	chromo_any	cgas_sting	421	0.0028549318383955594	0.9582028068144693	0.9785944429363893
nonTCGA (all)	chromo_any	tcell_inflamed	421	-0.12164220101250975	0.0837108373165957	0.38635771069198016
nonTCGA (all)	chromo_any	treg	421	-0.13431134085663088	0.0668339655825105	0.38635771069198016
nonTCGA (all)	chromo_any	myeloid	421	-0.09677977213861107	0.22036794723691727	0.5509198680922931
nonTCGA (all)	chromo_any	tgfb_stroma	421	0.08709602411304394	0.27495829465180216	0.5758056982383462
nonTCGA (all)	chromo_any	exhaustion	421	-0.09815198279527519	0.2083099743014509	0.5434173242646545
nonTCGA (all)	PGA	cytolytic	421	-0.05156166846457137	0.26453379980614244	0.5758056982383462
nonTCGA (all)	PGA	cd8_tcell	421	-0.08423029870158857	0.07204883849451466	0.38635771069198016
nonTCGA (all)	PGA	apm	421	-0.023332091144623847	0.5585869566228238	0.6839840285177434
nonTCGA (all)	PGA	isg	421	-0.0856884426971275	0.029786352557909207	0.28962667439708417
nonTCGA (all)	PGA	cgas_sting	421	-0.04145579494115451	0.11159465061422949	0.4689666423857937
nonTCGA (all)	PGA	tcell_inflamed	421	-0.04683435353452485	0.16476620042683474	0.4987099461262957
