setting	exposure	outcome	n	beta	p	q
nonTCGA (solid only)	chromo	tcell_inflamed	260	-0.03689959269260113	0.6792224426854154	0.983976072457376
nonTCGA (solid only)	chromo	treg	260	0.001930778245062964	0.982550366703262	0.9897309573638271
nonTCGA (solid only)	chromo	myeloid	260	-0.024407889770753283	0.8041518737259162	0.983976072457376
nonTCGA (solid only)	chromo	tgfb_stroma	260	0.19552366462212512	0.0525089700382233	0.7876345505733495
nonTCGA (solid only)	chromo	exhaustion	260	0.03612890092470203	0.7133535530204927	0.983976072457376
nonTCGA (solid only)	chromo_any	cytolytic	260	-0.02673008680094804	0.8111047354811447	0.983976072457376
nonTCGA (solid only)	chromo_any	cd8_tcell	260	0.030152961178798288	0.7967462967212182	0.983976072457376
nonTCGA (solid only)	chromo_any	apm	260	-0.1313356876637757	0.19475237633487544	0.983976072457376
nonTCGA (solid only)	chromo_any	isg	260	-0.022818910019769018	0.8188324750129519	0.983976072457376
nonTCGA (solid only)	chromo_any	cgas_sting	260	-0.008984133491500762	0.8947307239453236	0.983976072457376
nonTCGA (solid only)	chromo_any	tcell_inflamed	260	-0.10109754645080159	0.2494708497475647	0.983976072457376
nonTCGA (solid only)	chromo_any	treg	260	-0.13647537392397377	0.11561027435694197	0.9104759261622731
nonTCGA (solid only)	chromo_any	myeloid	260	-0.07498405005997791	0.43899161280368343	0.983976072457376
nonTCGA (solid only)	chromo_any	tgfb_stroma	260	0.15404316096007786	0.12139679015496975	0.9104759261622731
nonTCGA (solid only)	chromo_any	exhaustion	260	-0.06917189252625115	0.47499606863704685	0.983976072457376
nonTCGA (solid only)	PGA	cytolytic	260	0.012644718657763126	0.8251335267010291	0.983976072457376
nonTCGA (solid only)	PGA	cd8_tcell	260	-0.033969806839798625	0.5705803596268102	0.983976072457376
nonTCGA (solid only)	PGA	apm	260	0.008776155107865013	0.8657543579580352	0.983976072457376
nonTCGA (solid only)	PGA	isg	260	-0.024954486549892536	0.6244172137891538	0.983976072457376
nonTCGA (solid only)	PGA	cgas_sting	260	-0.03856873701645999	0.2663773908164279	0.983976072457376
nonTCGA (solid only)	PGA	tcell_inflamed	260	-0.000578905254540199	0.9897309573638271	0.9897309573638271
nonTCGA (solid only)	PGA	treg	260	-0.017631758640024794	0.6918338875483094	0.983976072457376
nonTCGA (solid only)	PGA	myeloid	260	0.02125502536778723	0.6682641043764428	0.983976072457376
nonTCGA (solid only)	PGA	tgfb_stroma	260	0.026595317098463946	0.6019999272097425	0.983976072457376
nonTCGA (solid only)	PGA	exhaustion	260	-0.01340508884218979	0.7868255015913227	0.983976072457376
nonTCGA (solid only)	n_high	cytolytic	260	-0.0034166451541050406	0.9511768700421301	0.983976072457376
nonTCGA (solid only)	n_high	cd8_tcell	260	0.05703614355110789	0.3283883207018365	0.983976072457376
nonTCGA (solid only)	n_high	apm	260	-0.11100903485742314	0.027555526380459657	0.7000861935960048
nonTCGA (solid only)	n_high	isg	260	-0.031368500186908364	0.5278304131064172	0.983976072457376
nonTCGA (solid only)	n_high	cgas_sting	260	-0.006782047192537318	0.8413105756456856	0.983976072457376
nonTCGA (solid only)	n_high	tcell_inflamed	260	-0.0291836639132126	0.5055629677781037	0.983976072457376
nonTCGA (solid only)	n_high	treg	260	-0.04398230858912441	0.3101256802544358	0.983976072457376
nonTCGA (solid only)	n_high	myeloid	260	-0.01466701528511686	0.7616887121940935	0.983976072457376
nonTCGA (solid only)	n_high	tgfb_stroma	260	0.02985325722287461	0.5481873705810786	0.983976072457376
nonTCGA (solid only)	n_high	exhaustion	260	-0.022591739038755214	0.6401267457761602	0.983976072457376
